name,age,salary,monthly_expenses,savings,investments,debt,assets,financial_goal,risk_appetite
Ekaraj Bedi,47,1501000.0,83700.0,1697000.0,1103000.0,669000.0,3958000.0,9115000.0,conservative
Triveni Parsa,57,1092000.0,45000.0,1580000.0,2581000.0,1261000.0,4895000.0,13993000.0,moderate
Yashawini Kumar,50,1457000.0,78800.0,2068000.0,1751000.0,142000.0,462000.0,6060000.0,conservative
Riya Dash,35,629000.0,41100.0,619000.0,1009000.0,610000.0,2302000.0,5987000.0,moderate
Divya Vig,58,1422000.0,63100.0,730000.0,890000.0,441000.0,6134000.0,5345000.0,aggressive
Lajita Master,37,633000.0,37900.0,45000.0,634000.0,462000.0,1647000.0,2347000.0,conservative
Wyatt Lad,34,680000.0,31600.0,657000.0,1044000.0,802000.0,3267000.0,4028000.0,conservative
Hamsini Kamdar,56,2887000.0,149500.0,1950000.0,1682000.0,2918000.0,3344000.0,11750000.0,moderate
Darpan Dugar,36,1283000.0,76600.0,338000.0,2655000.0,1309000.0,4627000.0,9071000.0,moderate
Laban Gour,24,419000.0,13300.0,152000.0,565000.0,414000.0,890000.0,1682000.0,conservative
Yochana Kunda,39,887000.0,42700.0,1249000.0,2617000.0,483000.0,1681000.0,7423000.0,conservative
Pavani Aggarwal,52,1814000.0,60100.0,265000.0,1342000.0,856000.0,5771000.0,4752000.0,conservative
Chaitaly Parekh,29,809000.0,48000.0,964000.0,961000.0,503000.0,2465000.0,6593000.0,conservative
Vansha Edwin,39,669000.0,36500.0,908000.0,1856000.0,229000.0,1228000.0,6528000.0,moderate
Arunima Savant,26,428000.0,18300.0,449000.0,1138000.0,246000.0,804000.0,5823000.0,conservative
Devansh Vaidya,48,640000.0,20700.0,89000.0,930000.0,97000.0,1536000.0,3741000.0,conservative
Simon Sanghvi,40,1378000.0,93300.0,1759000.0,511000.0,1476000.0,6841000.0,7730000.0,aggressive
Onkar Mangat,34,1483000.0,62700.0,1479000.0,1819000.0,1309000.0,5921000.0,6002000.0,conservative
Ojas Gandhi,30,596000.0,24200.0,269000.0,1050000.0,44000.0,1092000.0,3671000.0,moderate
Devansh Hari,43,492000.0,16400.0,474000.0,375000.0,390000.0,893000.0,3359000.0,moderate
Yashawini Choudhary,47,1454000.0,77400.0,361000.0,834000.0,1324000.0,6519000.0,2568000.0,moderate
Deepa Devi,57,1111000.0,44700.0,1196000.0,1771000.0,1149000.0,4329000.0,4718000.0,aggressive
Oscar Prabhakar,38,682000.0,43800.0,927000.0,360000.0,269000.0,2229000.0,3599000.0,moderate
Eta Sule,28,635000.0,36600.0,512000.0,1666000.0,481000.0,2267000.0,4718000.0,conservative
Damyanti Pandit,53,1514000.0,44400.0,2166000.0,337000.0,502000.0,431000.0,8387000.0,moderate
Wyatt Bajwa,45,931000.0,49100.0,638000.0,2758000.0,948000.0,431000.0,13089000.0,moderate
Omkaar Gopal,48,964000.0,37400.0,1247000.0,1556000.0,1012000.0,1522000.0,7226000.0,moderate
Anita Bhandari,25,423000.0,12600.0,496000.0,1248000.0,39000.0,1000000.0,6097000.0,conservative
Neha Sheth,33,594000.0,32700.0,106000.0,1339000.0,203000.0,2112000.0,4752000.0,conservative
Leela Som,51,892000.0,33600.0,1225000.0,409000.0,110000.0,3488000.0,5192000.0,aggressive
Onkar Mander,53,1233000.0,82200.0,1689000.0,841000.0,590000.0,5455000.0,3999000.0,moderate
Oeshi Bajwa,38,969000.0,51400.0,542000.0,311000.0,6000.0,1313000.0,2826000.0,moderate
Isha Boase,52,1268000.0,48000.0,1522000.0,2773000.0,1191000.0,4742000.0,14794000.0,moderate
Anamika Singh,53,844000.0,59000.0,317000.0,427000.0,437000.0,4198000.0,1255000.0,moderate
Oviya Kannan,36,1117000.0,58000.0,105000.0,2395000.0,716000.0,1163000.0,9425000.0,moderate
Udarsh Kumer,56,571000.0,20600.0,201000.0,1472000.0,509000.0,199000.0,4445000.0,conservative
Jai Lad,32,556000.0,28200.0,418000.0,687000.0,475000.0,2492000.0,3789000.0,aggressive
Chanakya Patel,31,495000.0,34200.0,66000.0,982000.0,187000.0,334000.0,3401000.0,conservative
Sarthak Chana,47,1238000.0,58000.0,349000.0,3325000.0,1163000.0,4455000.0,12854000.0,moderate
Veer Verma,46,1388000.0,65100.0,1982000.0,3136000.0,1067000.0,2688000.0,7963000.0,aggressive
Ekantika Nayar,27,705000.0,34100.0,540000.0,277000.0,185000.0,1253000.0,2539000.0,moderate
Manbir Keer,53,1079000.0,44100.0,1342000.0,947000.0,38000.0,5074000.0,5252000.0,moderate
Fitan Sheth,29,669000.0,24000.0,234000.0,1075000.0,607000.0,1175000.0,3193000.0,aggressive
Gunbir Mitter,52,1446000.0,77100.0,258000.0,1146000.0,287000.0,2947000.0,2582000.0,conservative
Prisha Sodhi,22,165000.0,11000.0,195000.0,250000.0,22000.0,13000.0,1303000.0,moderate
Jack Patel,52,2626000.0,157100.0,1460000.0,7506000.0,1325000.0,2410000.0,29629000.0,aggressive
Ikbal Tak,51,795000.0,26400.0,570000.0,1081000.0,879000.0,1437000.0,3482000.0,moderate
Chaaya Seshadri,51,1523000.0,69900.0,2267000.0,1196000.0,1313000.0,5071000.0,6546000.0,moderate
Hema Natarajan,47,1347000.0,39600.0,686000.0,592000.0,1290000.0,431000.0,4957000.0,aggressive
Rachana Wali,39,986000.0,41400.0,726000.0,2665000.0,319000.0,1723000.0,7139000.0,moderate
Ekavir Dora,48,1018000.0,58100.0,988000.0,702000.0,1020000.0,1859000.0,3923000.0,aggressive
Ishwar Nagi,32,868000.0,35800.0,156000.0,504000.0,433000.0,3433000.0,2444000.0,moderate
Tripti Varkey,51,762000.0,48900.0,830000.0,1260000.0,896000.0,1048000.0,5322000.0,conservative
Chakrika Vohra,43,1011000.0,49600.0,713000.0,1400000.0,691000.0,4509000.0,4919000.0,aggressive
Madhav Cherian,39,735000.0,41900.0,223000.0,850000.0,535000.0,3469000.0,1796000.0,aggressive
Zarna Salvi,41,761000.0,50200.0,513000.0,1321000.0,836000.0,843000.0,6365000.0,moderate
Nathaniel Deo,43,1203000.0,69300.0,864000.0,2055000.0,1369000.0,2272000.0,9749000.0,conservative
Maanav Jha,23,488000.0,32500.0,478000.0,100000.0,10000.0,1790000.0,1261000.0,aggressive
Hamsini Sem,27,421000.0,26500.0,593000.0,524000.0,117000.0,565000.0,3377000.0,moderate
Nakul Vohra,31,808000.0,42700.0,937000.0,1748000.0,596000.0,3337000.0,4414000.0,conservative
Amruta Pandya,26,448000.0,18600.0,271000.0,513000.0,2000.0,2182000.0,1631000.0,moderate
Manthan Oza,38,629000.0,26200.0,916000.0,1883000.0,240000.0,1986000.0,9872000.0,aggressive
Jyoti Guha,47,1074000.0,70500.0,1285000.0,758000.0,253000.0,866000.0,7905000.0,moderate
Tanveer Pall,46,1027000.0,32300.0,93000.0,1529000.0,645000.0,10000.0,5560000.0,moderate
Edhitha Mangat,39,701000.0,47900.0,154000.0,1417000.0,502000.0,1437000.0,5186000.0,moderate
Advaith Sibal,54,1650000.0,70600.0,604000.0,2712000.0,374000.0,1872000.0,10506000.0,moderate
Krishna Sankaran,43,1124000.0,67400.0,192000.0,132000.0,723000.0,4349000.0,545000.0,moderate
Chaitanya Dave,25,232000.0,10000.0,175000.0,358000.0,110000.0,545000.0,1539000.0,conservative
Jalsa Kanda,51,738000.0,50800.0,402000.0,2140000.0,878000.0,2333000.0,8096000.0,moderate
Mohini Patla,43,1201000.0,36900.0,1754000.0,1465000.0,94000.0,3641000.0,10971000.0,aggressive
Nitesh Jain,46,857000.0,37600.0,630000.0,299000.0,865000.0,156000.0,3045000.0,conservative
Guneet Shetty,43,1150000.0,75100.0,411000.0,73000.0,1379000.0,4071000.0,1125000.0,moderate
Hritik Nadig,43,1360000.0,55200.0,1982000.0,1682000.0,884000.0,5615000.0,10809000.0,conservative
Orinder Pradhan,25,260000.0,10600.0,207000.0,145000.0,212000.0,613000.0,1239000.0,aggressive
Mahika De,43,632000.0,42100.0,99000.0,1583000.0,97000.0,1839000.0,4606000.0,conservative
Bhavna Kuruvilla,52,2426000.0,154700.0,406000.0,6931000.0,1021000.0,1744000.0,18568000.0,moderate
Zehaan Sule,33,775000.0,26000.0,798000.0,2187000.0,169000.0,2553000.0,5150000.0,moderate
Samuel Parsa,44,924000.0,49300.0,709000.0,1038000.0,647000.0,4341000.0,5011000.0,moderate
Wyatt Solanki,23,242000.0,9300.0,231000.0,330000.0,274000.0,861000.0,1835000.0,conservative
Jagvi Chaudhry,35,631000.0,24100.0,809000.0,596000.0,22000.0,46000.0,3351000.0,aggressive
Aahana Issac,38,567000.0,31100.0,589000.0,220000.0,336000.0,877000.0,2736000.0,conservative
Oscar Kata,59,2173000.0,74600.0,2824000.0,3644000.0,1887000.0,10364000.0,25766000.0,moderate
Falguni Jain,30,442000.0,21500.0,498000.0,247000.0,228000.0,1477000.0,1504000.0,conservative
Hemang Natarajan,32,953000.0,38000.0,980000.0,170000.0,616000.0,1547000.0,3512000.0,moderate
Samesh Buch,37,717000.0,46400.0,176000.0,1827000.0,390000.0,2153000.0,4686000.0,conservative
Ekapad Doshi,59,1107000.0,57900.0,830000.0,2652000.0,794000.0,904000.0,7334000.0,moderate
Edhitha Dua,54,1223000.0,46600.0,829000.0,3399000.0,101000.0,5654000.0,12247000.0,moderate
Jeevika Dua,23,134000.0,9100.0,112000.0,132000.0,88000.0,261000.0,600000.0,moderate
Turvi Chauhan,30,556000.0,35300.0,343000.0,1452000.0,341000.0,534000.0,5474000.0,conservative
Nathan Ratti,53,1305000.0,52500.0,1239000.0,1560000.0,285000.0,489000.0,8837000.0,moderate
Ria Deshmukh,24,494000.0,34200.0,306000.0,108000.0,317000.0,86000.0,1048000.0,conservative
Oni Hari,54,734000.0,29600.0,630000.0,1008000.0,408000.0,2367000.0,2513000.0,aggressive
Samaksh Magar,32,976000.0,40400.0,608000.0,1621000.0,695000.0,3325000.0,8429000.0,moderate
Dhruv Venkataraman,56,1986000.0,89900.0,2696000.0,2574000.0,1344000.0,6539000.0,20578000.0,conservative
Faqid Sethi,33,1062000.0,38300.0,628000.0,2502000.0,516000.0,1668000.0,6846000.0,moderate
Samesh Tank,38,844000.0,48800.0,937000.0,891000.0,791000.0,3344000.0,6678000.0,aggressive
Hredhaan Dara,47,1676000.0,87800.0,1575000.0,4631000.0,719000.0,7038000.0,23467000.0,conservative
Amaira Halder,26,263000.0,17500.0,160000.0,59000.0,150000.0,793000.0,449000.0,conservative
Maanas Munshi,43,1328000.0,52100.0,1622000.0,2870000.0,680000.0,4087000.0,12180000.0,moderate
Sanya Ranganathan,41,737000.0,26700.0,1028000.0,2054000.0,430000.0,709000.0,5241000.0,conservative
Neha Tata,51,738000.0,32600.0,851000.0,1225000.0,709000.0,3166000.0,5418000.0,moderate
William Chatterjee,59,1076000.0,37900.0,1534000.0,2836000.0,916000.0,455000.0,9905000.0,aggressive
Ridhi Subramanian,47,1177000.0,80700.0,803000.0,2443000.0,60000.0,4722000.0,6193000.0,moderate
Nisha Bhatti,37,618000.0,36500.0,850000.0,27000.0,367000.0,1294000.0,2534000.0,aggressive
Jai Sant,37,941000.0,58700.0,1243000.0,1895000.0,141000.0,462000.0,5716000.0,conservative
Prisha Raman,37,438000.0,26400.0,506000.0,863000.0,383000.0,134000.0,3262000.0,aggressive
Turvi Nori,52,641000.0,25200.0,808000.0,0.0,759000.0,3168000.0,2956000.0,moderate
Chandresh Banerjee,34,1164000.0,40800.0,1291000.0,1429000.0,864000.0,3312000.0,8702000.0,aggressive
Caleb Rao,28,700000.0,32900.0,555000.0,81000.0,319000.0,1555000.0,2235000.0,aggressive
Sai Solanki,34,499000.0,31800.0,425000.0,439000.0,43000.0,2309000.0,1800000.0,moderate
Faqid Dasgupta,22,300000.0,12900.0,197000.0,888000.0,120000.0,695000.0,3152000.0,conservative
Shivani Thaker,26,629000.0,18600.0,637000.0,1774000.0,396000.0,2664000.0,5383000.0,moderate
Lucky More,25,469000.0,26600.0,244000.0,964000.0,496000.0,2002000.0,3179000.0,moderate
Krishna Rau,51,1385000.0,51900.0,1555000.0,1524000.0,853000.0,5194000.0,9305000.0,aggressive
Faraj Sachdev,49,1827000.0,94600.0,1429000.0,2173000.0,2158000.0,869000.0,8831000.0,moderate
Bahadurjit Mann,48,937000.0,27900.0,527000.0,107000.0,415000.0,4473000.0,1790000.0,moderate
Priya Merchant,39,905000.0,45600.0,238000.0,918000.0,1000.0,2839000.0,3434000.0,moderate
Isha Date,49,1237000.0,56400.0,520000.0,2911000.0,933000.0,2527000.0,6250000.0,moderate
Nicholas Nagar,28,464000.0,30600.0,454000.0,723000.0,122000.0,1778000.0,1829000.0,moderate
Mitesh Khalsa,56,1300000.0,77000.0,762000.0,1859000.0,380000.0,481000.0,4519000.0,conservative
Ekta Loyal,41,990000.0,30400.0,97000.0,271000.0,21000.0,883000.0,1364000.0,moderate
Yahvi Wagle,57,1543000.0,95800.0,815000.0,4254000.0,984000.0,5228000.0,20098000.0,moderate
Zayan Mangat,27,329000.0,20400.0,191000.0,279000.0,98000.0,1036000.0,877000.0,moderate
Om Radhakrishnan,40,1231000.0,69900.0,480000.0,1414000.0,1469000.0,3228000.0,4512000.0,conservative
Dalbir Raju,48,860000.0,58400.0,400000.0,853000.0,862000.0,2901000.0,2923000.0,moderate
Joshua Gola,40,862000.0,54000.0,924000.0,850000.0,746000.0,4094000.0,5296000.0,conservative
William Sankar,38,776000.0,29700.0,878000.0,1395000.0,330000.0,506000.0,5159000.0,moderate
Jatin Sekhon,28,578000.0,26000.0,833000.0,1087000.0,50000.0,991000.0,7469000.0,moderate
Vaishnavi Verma,36,376000.0,16400.0,83000.0,675000.0,302000.0,552000.0,1484000.0,moderate
Mohammed Gulati,31,840000.0,42200.0,422000.0,173000.0,22000.0,3928000.0,1608000.0,conservative
Henry Sha,33,540000.0,37200.0,87000.0,1571000.0,286000.0,505000.0,3401000.0,aggressive
Vamakshi Savant,47,1801000.0,98700.0,1692000.0,3858000.0,114000.0,3312000.0,13892000.0,conservative
Amara Shah,45,935000.0,39500.0,69000.0,2476000.0,628000.0,4235000.0,5095000.0,moderate
Anjali Mukhopadhyay,45,1086000.0,74300.0,378000.0,520000.0,729000.0,3638000.0,1545000.0,moderate
Dhriti Kade,35,1475000.0,86100.0,1329000.0,4125000.0,939000.0,230000.0,20471000.0,moderate
Bhavini Desai,58,1416000.0,57000.0,807000.0,3066000.0,1214000.0,6798000.0,11451000.0,conservative
Zehaan Dutta,25,625000.0,41800.0,525000.0,939000.0,171000.0,188000.0,4653000.0,conservative
Kashvi Merchant,35,765000.0,33300.0,748000.0,53000.0,222000.0,1996000.0,2011000.0,conservative
Oliver Mistry,26,509000.0,25800.0,645000.0,387000.0,254000.0,616000.0,1954000.0,conservative
Radha Lad,34,738000.0,36300.0,457000.0,1857000.0,622000.0,2332000.0,9079000.0,conservative
Mohammed Walia,58,2099000.0,142000.0,954000.0,2388000.0,294000.0,2977000.0,7847000.0,aggressive
Guneet Bir,35,594000.0,23900.0,494000.0,1209000.0,631000.0,2428000.0,5705000.0,conservative
Urishilla Pai,56,1056000.0,45500.0,159000.0,2315000.0,320000.0,2984000.0,9298000.0,moderate
Udant Chander,40,744000.0,42200.0,82000.0,1731000.0,114000.0,1164000.0,5258000.0,moderate
Leena Warrior,48,1253000.0,82800.0,884000.0,1437000.0,901000.0,5423000.0,5862000.0,conservative
Divya Subramaniam,39,828000.0,28100.0,303000.0,2260000.0,274000.0,3218000.0,5489000.0,moderate
Devika Brar,32,833000.0,31600.0,50000.0,730000.0,409000.0,2054000.0,1268000.0,moderate
George Borra,51,2076000.0,142600.0,2149000.0,5207000.0,152000.0,5099000.0,12369000.0,aggressive
Pranav Dewan,58,1109000.0,68300.0,1368000.0,1413000.0,619000.0,2594000.0,8833000.0,conservative
Laksh Dhillon,32,503000.0,21900.0,133000.0,353000.0,183000.0,1358000.0,1847000.0,conservative
Hemani Solanki,51,795000.0,35000.0,690000.0,819000.0,162000.0,3411000.0,5124000.0,conservative
Luke De,31,1252000.0,61000.0,1849000.0,3003000.0,580000.0,462000.0,11014000.0,moderate
Ikshita Munshi,49,1385000.0,79300.0,609000.0,2555000.0,1280000.0,2690000.0,5645000.0,conservative
Ishani Gola,51,1555000.0,81700.0,1726000.0,638000.0,1425000.0,5832000.0,4747000.0,moderate
Jatin Rajan,39,560000.0,34400.0,160000.0,208000.0,242000.0,2699000.0,1341000.0,moderate
Balvan Batta,50,1279000.0,40200.0,1793000.0,2637000.0,1495000.0,979000.0,9416000.0,moderate
Ranveer Buch,32,777000.0,49200.0,39000.0,558000.0,117000.0,169000.0,1706000.0,moderate
Isha Deep,25,371000.0,11700.0,177000.0,232000.0,381000.0,1493000.0,1631000.0,moderate
Pranav Mander,25,590000.0,38900.0,865000.0,1327000.0,693000.0,2863000.0,8762000.0,conservative
Hredhaan Sarraf,38,1932000.0,59800.0,1975000.0,1870000.0,1328000.0,6904000.0,7841000.0,aggressive
Mohammed Devi,56,1070000.0,36900.0,382000.0,219000.0,77000.0,2964000.0,2342000.0,moderate
Nathan Sha,26,308000.0,11300.0,369000.0,393000.0,340000.0,359000.0,1731000.0,aggressive
Harini Bhagat,39,658000.0,25300.0,890000.0,1124000.0,345000.0,3153000.0,7213000.0,aggressive
Chasmum Chadha,48,2123000.0,97500.0,1606000.0,3831000.0,438000.0,7667000.0,11359000.0,conservative
Anvi Sarna,29,785000.0,44300.0,217000.0,138000.0,840000.0,2724000.0,567000.0,aggressive
Gautam Sachdev,49,1187000.0,78800.0,504000.0,1615000.0,608000.0,5234000.0,7435000.0,aggressive
Sai Borra,33,694000.0,35400.0,984000.0,749000.0,416000.0,3039000.0,4575000.0,moderate
Qadim Modi,52,1014000.0,52100.0,288000.0,1366000.0,695000.0,409000.0,6558000.0,aggressive
Triveni Nori,44,1461000.0,62100.0,734000.0,183000.0,1589000.0,146000.0,2187000.0,moderate
Ikshita Reddy,42,875000.0,54700.0,228000.0,776000.0,529000.0,974000.0,2426000.0,moderate
Xalak Sen,28,466000.0,15700.0,95000.0,900000.0,497000.0,2121000.0,2901000.0,moderate
Yutika Mammen,39,1108000.0,46200.0,894000.0,419000.0,226000.0,2956000.0,4580000.0,aggressive
Pavani Kumer,54,1330000.0,44200.0,832000.0,3827000.0,984000.0,4306000.0,7230000.0,moderate
Lohit Mahajan,22,276000.0,10500.0,32000.0,823000.0,174000.0,477000.0,2638000.0,conservative
Mahika Bhasin,50,1285000.0,68900.0,335000.0,1390000.0,501000.0,2730000.0,3635000.0,moderate
Qushi Padmanabhan,40,1229000.0,42300.0,129000.0,2511000.0,313000.0,1844000.0,5441000.0,moderate
Orinder Venkataraman,49,2215000.0,73900.0,190000.0,4222000.0,186000.0,10414000.0,7588000.0,aggressive
Bimala Dhawan,47,1442000.0,91700.0,445000.0,723000.0,453000.0,2971000.0,1777000.0,conservative
Warinder Brar,38,1139000.0,38800.0,1285000.0,1326000.0,930000.0,4760000.0,5900000.0,moderate
Pratyush Doshi,33,639000.0,34800.0,46000.0,1880000.0,213000.0,497000.0,6003000.0,moderate
William Warrior,45,863000.0,37800.0,424000.0,331000.0,754000.0,1369000.0,1940000.0,moderate
Azaan Kumer,27,597000.0,39700.0,519000.0,1030000.0,627000.0,542000.0,2774000.0,moderate
Devika Palan,44,1136000.0,66600.0,1282000.0,2042000.0,946000.0,1667000.0,9068000.0,moderate
Luke Sundaram,25,246000.0,7800.0,254000.0,124000.0,238000.0,821000.0,1345000.0,conservative
Veer Singhal,46,1016000.0,67500.0,1507000.0,1631000.0,699000.0,719000.0,11268000.0,moderate
Bahadurjit Ramanathan,45,1073000.0,49800.0,482000.0,2953000.0,1219000.0,2876000.0,10145000.0,moderate
Ojas Bhat,25,339000.0,14100.0,17000.0,118000.0,310000.0,5000.0,389000.0,conservative
Tamanna Palla,50,2150000.0,123000.0,227000.0,1224000.0,833000.0,10568000.0,3503000.0,aggressive
Jagrati Rau,37,976000.0,57700.0,187000.0,748000.0,847000.0,174000.0,2545000.0,moderate
Yochana Dugal,51,2126000.0,88900.0,3113000.0,4790000.0,1714000.0,8019000.0,27105000.0,conservative
Agastya Mandal,23,367000.0,16100.0,322000.0,636000.0,331000.0,1595000.0,2473000.0,aggressive
Prisha Madan,28,525000.0,18700.0,635000.0,793000.0,201000.0,2615000.0,5144000.0,conservative
Anusha Khalsa,40,670000.0,36100.0,991000.0,1592000.0,410000.0,2178000.0,7838000.0,conservative
Harita Palan,29,547000.0,37800.0,697000.0,1605000.0,578000.0,1659000.0,5796000.0,conservative
Daksh Patla,34,723000.0,33600.0,463000.0,425000.0,847000.0,2016000.0,3380000.0,moderate
Mohini Padmanabhan,47,728000.0,51500.0,961000.0,1774000.0,314000.0,2783000.0,10171000.0,conservative
Qarin Setty,27,393000.0,14400.0,267000.0,436000.0,230000.0,1711000.0,1755000.0,aggressive
Idika Kala,47,1049000.0,65400.0,226000.0,459000.0,416000.0,2768000.0,2297000.0,moderate
Gayathri Handa,25,468000.0,31700.0,395000.0,360000.0,403000.0,1685000.0,2886000.0,conservative
Qarin Dara,28,599000.0,34600.0,825000.0,718000.0,28000.0,2882000.0,4585000.0,moderate
Yuvraj Barman,44,873000.0,29400.0,1037000.0,2355000.0,999000.0,488000.0,13035000.0,aggressive
Kala Puri,52,1591000.0,68100.0,1007000.0,2283000.0,1049000.0,4691000.0,5592000.0,aggressive
